6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.202558e-02  -1.736832e+01  1.979000e+03  6.832806e-03
1.689733e-02  9.345898e+00  3.860000e+03  1.170356e-02
2.374271e-02  1.366813e+00  7.755000e+03  9.009907e-03
3.336125e-02  9.579998e-01  1.523200e+04  9.229085e-03
4.687643e-02  8.235595e+00  3.026100e+04  1.086045e-02
6.586681e-02  -2.815577e+00  5.950600e+04  1.036045e-02
9.255050e-02  3.128022e+00  1.164480e+05  1.063928e-02
1.300442e-01  -5.981131e-01  2.280360e+05  1.082541e-02
1.827271e-01  1.719086e+00  4.460000e+05  9.925222e-03
2.567528e-01  4.953055e-01  8.696300e+05  1.032674e-02
      
