6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.182211e-02  -1.622431e+00  6.500000e+01  0.000000e+00
1.613033e-02  1.733090e+02  1.420000e+02  2.017110e-03
2.200857e-02  1.228922e+02  3.280000e+02  1.752150e-02
3.002897e-02  3.884744e+00  6.550000e+02  7.225458e-03
4.097216e-02  3.922172e+01  1.213000e+03  6.527545e-03
5.590329e-02  4.675775e+01  2.236000e+03  9.408411e-03
7.627564e-02  2.794322e+01  4.253000e+03  1.320326e-02
1.040721e-01  2.359557e+01  7.857000e+03  1.077127e-02
1.419982e-01  1.175086e+01  1.451300e+04  1.082399e-02
1.937454e-01  1.093171e+01  2.674800e+04  1.126824e-02
2.643503e-01  3.109944e+00  4.887200e+04  1.038787e-02
3.606852e-01  -9.059160e-01  8.933200e+04  9.829557e-03
4.921266e-01  2.056390e+01  1.675270e+05  9.061884e-03
6.714681e-01  3.667472e+01  3.164660e+05  1.010744e-02
9.161654e-01  3.995970e+01  5.872700e+05  1.013648e-02
1.250036e+00  3.337697e+01  1.077384e+06  1.058405e-02
1.705575e+00  2.435166e+01  1.962586e+06  1.025160e-02
2.327123e+00  1.645201e+01  3.613819e+06  1.030504e-02
3.175177e+00  9.433693e+00  6.665848e+06  1.034800e-02
4.332279e+00  7.129099e+00  1.215705e+07  1.036383e-02
      
