6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.182211e-02  1.121858e+02  7.100000e+01  0.000000e+00
1.613033e-02  9.782501e+01  1.540000e+02  2.282910e-03
2.200857e-02  1.162647e+02  3.590000e+02  9.247687e-03
3.002897e-02  1.242386e+02  6.550000e+02  1.283770e-02
4.097216e-02  5.982629e+01  1.274000e+03  8.910041e-03
5.590329e-02  2.206840e+01  2.294000e+03  9.972956e-03
7.627564e-02  2.155799e+01  4.384000e+03  1.054622e-02
1.040721e-01  2.705231e+01  8.043000e+03  8.890515e-03
1.419982e-01  1.902316e+01  1.486900e+04  9.662728e-03
1.937454e-01  8.589642e+00  2.716500e+04  9.840630e-03
2.643503e-01  1.414256e+01  4.983700e+04  1.129787e-02
3.606852e-01  3.831269e+00  9.276500e+04  1.071627e-02
4.921266e-01  1.497715e+00  1.707800e+05  9.976359e-03
6.714681e-01  -5.934199e+00  3.107870e+05  1.045662e-02
9.161654e-01  5.518686e+00  5.740270e+05  1.064300e-02
1.250036e+00  2.454055e+01  1.065147e+06  1.020698e-02
1.705575e+00  2.228813e+01  1.961991e+06  1.044354e-02
2.327123e+00  1.714952e+01  3.621746e+06  1.030368e-02
3.175177e+00  1.092296e+01  6.649496e+06  1.048291e-02
4.332279e+00  7.195719e+00  1.208338e+07  1.027187e-02
      
