6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.182211e-02  3.143438e+02  6.400000e+01  0.000000e+00
1.613033e-02  1.811577e+01  1.700000e+02  7.432335e-03
2.200857e-02  9.126526e+01  3.310000e+02  7.329159e-03
3.002897e-02  7.137075e+01  5.980000e+02  9.241323e-03
4.097216e-02  -1.369327e+01  1.102000e+03  8.866790e-03
5.590329e-02  2.929452e+01  2.105000e+03  1.024432e-02
7.627564e-02  1.650528e+01  3.752000e+03  8.781122e-03
1.040721e-01  1.947045e+01  6.996000e+03  8.272439e-03
1.419982e-01  1.256101e+01  1.295400e+04  1.034311e-02
1.937454e-01  1.841636e+01  2.430000e+04  1.020075e-02
2.643503e-01  4.045375e+01  4.704800e+04  9.104402e-03
3.606852e-01  6.971714e+01  9.201600e+04  8.887657e-03
4.921266e-01  6.340199e+01  1.749810e+05  1.016211e-02
6.714681e-01  5.958571e+01  3.235200e+05  9.926707e-03
9.161654e-01  4.355663e+01  5.914020e+05  1.001075e-02
1.250036e+00  3.360481e+01  1.087113e+06  1.055668e-02
1.705575e+00  2.513697e+01  1.992003e+06  1.036620e-02
2.327123e+00  1.673453e+01  3.670043e+06  1.014591e-02
3.175177e+00  9.313207e+00  6.798035e+06  1.039254e-02
4.332279e+00  7.279786e+00  1.238076e+07  1.038450e-02
      
