6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.202558e-02  9.470989e+01  3.740000e+02  7.762745e-03
1.689733e-02  1.445281e+02  9.500000e+02  1.526206e-02
2.374271e-02  9.086966e+01  1.979000e+03  6.811415e-03
3.336125e-02  4.742376e+01  4.220000e+03  1.021366e-02
4.687643e-02  2.556164e+01  8.042000e+03  7.772833e-03
6.586681e-02  3.585967e+01  1.598400e+04  1.001015e-02
9.255050e-02  2.877541e+01  3.107100e+04  8.441528e-03
1.300442e-01  2.004210e+01  6.134600e+04  1.087540e-02
1.827271e-01  1.312305e+01  1.203830e+05  1.029217e-02
2.567528e-01  7.451897e+00  2.364600e+05  1.032679e-02
      
