6:Sumwls_by_sumwl  4:SumwlsResp  12:SN_ErrDeltaSigma_cross  13:Total_pairs
1.202558e-02  1.859141e+02  3.590000e+02  3.358753e-03
1.689733e-02  1.337934e+02  8.460000e+02  4.721009e-03
2.374271e-02  9.916877e+01  1.883000e+03  1.015421e-02
3.336125e-02  6.039427e+01  4.011000e+03  8.619822e-03
4.687643e-02  3.881267e+01  8.026000e+03  9.400059e-03
6.586681e-02  3.742642e+01  1.557700e+04  1.019795e-02
9.255050e-02  1.257228e+01  3.060500e+04  9.617637e-03
1.300442e-01  1.314278e+01  6.038900e+04  9.948211e-03
1.827271e-01  1.096605e+01  1.176930e+05  1.034871e-02
2.567528e-01  8.602388e+00  2.309180e+05  1.096622e-02
      
